48080
Latent shape per frame: (128, 8, 8)
Total latents: 48080
(8, 6010, 128, 8, 8)
Epoch 0 done.
Train loss: 0.06387783259573117
Val loss: 0.05163678992539644
Epoch 1 done.
Train loss: 0.05475025707986993
Val loss: 0.04957279213704169
Epoch 2 done.
Train loss: 0.05349632585552377
Val loss: 0.04870399588253349
Epoch 3 done.
Train loss: 0.05284908413887024
Val loss: 0.04831320571247488
Epoch 4 done.
Train loss: 0.05240284988368061
Val loss: 0.04797297471668571
Epoch 5 done.
Train loss: 0.0521373428089518
Val loss: 0.047873181058093905
Epoch 6 done.
Train loss: 0.0518848137536519
Val loss: 0.04759025922976434
Epoch 7 done.
Train loss: 0.05175882862277434
Val loss: 0.04744686803314835
Epoch 8 done.
Train loss: 0.05163750593930903
Val loss: 0.04736879526171833
Epoch 9 done.
Train loss: 0.051485762724154435
Val loss: 0.04742537217680365
Epoch 10 done.
Train loss: 0.05139614305865597
Val loss: 0.04718785418663174
Epoch 11 done.
Train loss: 0.051268739903896625
Val loss: 0.04779691284056753
Epoch 12 done.
Train loss: 0.05124699977082266
Val loss: 0.04709470027592033
Epoch 13 done.
Train loss: 0.051131193801550796
Val loss: 0.04706490656826645
Epoch 14 done.
Train loss: 0.05112605699351136
Val loss: 0.0469753525685519
Epoch 15 done.
Train loss: 0.0510609959212827
Val loss: 0.04699729313142598
Epoch 16 done.
Train loss: 0.05100812452359938
Val loss: 0.04701128730084747
Epoch 17 done.
Train loss: 0.05095213253943014
Val loss: 0.04689542204141617
Epoch 18 done.
Train loss: 0.050884054580204924
Val loss: 0.04685431648977101
Epoch 19 done.
Train loss: 0.050862667520701045
Val loss: 0.04684602003544569
Epoch 20 done.
Train loss: 0.05082771187307129
Val loss: 0.0469060871982947
Epoch 21 done.
Train loss: 0.05077173090736631
Val loss: 0.04677238583099097
Epoch 22 done.
Train loss: 0.05079465352103744
Val loss: 0.046745628234930336
Epoch 23 done.
Train loss: 0.050728604113551935
Val loss: 0.04673127771820873
Epoch 24 done.
Train loss: 0.050712926161121316
Val loss: 0.04677652206737548
Epoch 25 done.
Train loss: 0.05068462361962023
Val loss: 0.04666808387264609
Epoch 26 done.
Train loss: 0.05068244792416062
Val loss: 0.046668796450830996
Epoch 27 done.
Train loss: 0.05063511785906805
Val loss: 0.04664439405314624
Epoch 28 done.
Train loss: 0.05062624034537396
Val loss: 0.04667272442020476
Epoch 29 done.
Train loss: 0.05059016904150936
Val loss: 0.04663974710274488
Epoch 30 done.
Train loss: 0.05058447502448525
Val loss: 0.04663559410255402
Epoch 31 done.
Train loss: 0.05056491883497843
Val loss: 0.046804629266262054
Epoch 32 done.
Train loss: 0.050560148721429665
Val loss: 0.04660826548933983
Epoch 33 done.
Train loss: 0.05053479948513944
Val loss: 0.046580138499848545
Epoch 34 done.
Train loss: 0.050494869210770434
Val loss: 0.04656237247399986
Epoch 35 done.
Train loss: 0.05051705388116165
Val loss: 0.04653729090932757
Epoch 36 done.
Train loss: 0.050494582300454796
Val loss: 0.04653532663360238
Epoch 37 done.
Train loss: 0.05046385097461687
Val loss: 0.0465325762052089
Epoch 38 done.
Train loss: 0.05046487301588058
Val loss: 0.04652612283825874
Epoch 39 done.
Train loss: 0.05045111383980429
Val loss: 0.046583877759985626
Epoch 40 done.
Train loss: 0.05039187661359008
Val loss: 0.04650155873969197
Epoch 41 done.
Train loss: 0.050421016862694644
Val loss: 0.04650770721491426
Epoch 42 done.
Train loss: 0.0503852821676664
Val loss: 0.046497634262777865
Epoch 43 done.
Train loss: 0.05040196007196333
Val loss: 0.04649139486718923
Epoch 44 done.
Train loss: 0.05038502003315469
Val loss: 0.04651002318132669
Epoch 45 done.
Train loss: 0.05038228695031623
Val loss: 0.04646143561694771
Epoch 46 done.
Train loss: 0.05036350083602986
Val loss: 0.046620873850770295
Epoch 47 done.
Train loss: 0.05037021587642146
Val loss: 0.04643929470330477
Epoch 48 done.
Train loss: 0.050341727049417896
Val loss: 0.04646295832935721
Epoch 49 done.
Train loss: 0.05031453403578678
Val loss: 0.046436039032414556
